publish_date,headline_category,headline_text,Label
20081108,city.mumbai,Delhi firm's employee held for money scheme fraud,
20081116,home.environment.global-warming,'Brown clouds way of getting at India; China',
20081117,sports.golf,Jeev breaks into top 50; ranked 46th,
20081119,city.hyderabad,Realtors now chant mantra of affordable housing,
20081121,city.goa,Elephant knocks down forest guard,
20081130,india,26th a bad omen for India,
20081205,entertainment.hindi.bollywood.news,Global fame? P-Akki,
20081206,entertainment,George Clooney eyeing another waitress,
20081211,city.mumbai,An exhibition touching several humanitarian aspects,
20081215,city.mumbai,Coat of armour on Mumbai roads,
20081221,city.pune,CFCs illegally collecting electricity bills: MSEDCL,
20081221,city.bengaluru,Woman killed in cylinder blast,
20081221,sa-aiyar.swaminomics,Economic forecasts: The good; the bad and the ugly,
20081225,city.ahmedabad,SIT summons VHP leader; minister,
20081227,city.thane,Load-shedding affects 60 per cent of city's business,
20081227,business.india-business,Irked complainants avoid banks; complain to ombudsman first,
20090104,city.bengaluru,Kidnappers snatch auto driver's son,
20090105,business.india-business,Airlines play zero basic fare card,
20090105,india,Jamiat asks govt to clarify report that JeM chief had met Deoband ulemas,
20090106,city.mumbai,Rane stalls plan to quit Congress,
20090109,city.ahmedabad,Top Jain business groups to power JITO,
20090110,city.bengaluru,CAT journey far from over,
20090110,unknown,SFIO team asked to get magistrate permission to quiz Raju,
20090110,city.rajkot,Sandhi sent to 9-day police remand,
20090111,business.india-business,Parekh; Karnik & Achutan join Satyam board,
20090111,unknown,Acting CEO drew more than Raju & entire Satyam board together,
20090117,unknown,Jelena Jankovic,
20090120,city.patna,Trade unions to intensify stir,
20090120,city.bengaluru,Why are we kept out; asks Delhi Metro,
20090121,unknown,Indian army doctor performs 30 eye surgeries in Congo,
20090128,city.mumbai,Toxic and now expensive,
20090131,city.pune,DLitt awarded to indologists Shastri; Joshi,
20090214,unknown,Get naughty with 'love-games',
20090214,city.patna,Govt asks banks to finance tractors,
20090215,india,US envoy Holbrooke arrives in India,
20090216,city.mumbai,Studios target tweens with merchandise,
20090222,city.lucknow,Foresters now get after Kheri man-eater,
20090225,sports.icc-world-cup-2015,Vettori praises bowlers for shaping win over India,
20090226,city.chennai,CBSE; schools counsel parents before exams,
20090228,city.vadodara,PTC; BEd college trustee shot at in Lunawada,
20090306,city.delhi,DA case: Plea of ex-babu quashed,
20090312,city.kanpur,Unable to play colours; man ends life,
20090312,unknown,Indian family of three killed in Philippines,
20090313,city.thane,Get; set; zoom,
20090314,sports.tennis,Bhupathi advances; Sania out of women's doubles,
20090317,world.pakistan,Pak govt hands over to FIA India's response to 30 queries,
20090320,life-style.fashion.trends,Creative bras up for grabs to fight breast cancer,
20090321,tech.tech-news,$6 bn govt projects for IT cos,
20090322,unknown,Can a knot untangle their lives?,
20090322,city.chennai,AAI trains cargo staff; agents to handle hazardous goods,
20090323,city.hyderabad,Four AP students die in US car crash,
20090326,city.allahabad,AU post-graduate admission tests on June 15; 16,
20090402,city.mumbai,Western suburbs face acute water shortage,
20090403,city.bengaluru,China-made mobiles will go dead soon,
20090403,city.vadodara,FGI's new team takes charge,
20090404,unknown,Button takes pole again; Trulli follows,
20090404,city.surat,Plastics unit catches fire in Daman; huge losses feared,
20090407,city.ahmedabad,Controversial cop Parmar finally hangs up his boots,
20090412,unknown,Fit at 40? Fat chance,
20090421,unknown,Kolkata Knight Riders win toss; bowl first,
20090423,city.varanasi,Weavers stage protest,
20090425,city.vadodara,Darshana Chaturvedi,
20090425,city.lucknow,Workshop on IPRs at CDRI,
20090425,sports.more-sports.others,Rossi clinches Japanese MotoGP pole,
20090429,city.varanasi,DM assures repair of roads,
20090430,city.pune,Arun Adsool is Pro V-C of UoP,
20090502,business.india-business,Sensex continues its forward march; touches 6-1/2 month high,
20090504,city.delhi,Empathize with kids; spare the rod: Experts,
20090504,city.varanasi,Large areas of city reel under power scarcity,
20090508,world.uk,Can I fondle you?: Berlo to a woman councillor,
20090511,city.mumbai,Green body's green signals 'kill' tree cover,
20090516,unknown,Indian Overseas Congress holds victory rally in London,
20090518,city.mysuru,Tuitions pinching middle-class pockets,
20090521,city.jaipur,Hunt begins for good colleges,
20090522,india,UPA-2 set to clear 'new' Gorshkov deal by July-end,
20090523,entertainment.events.kolkata,Music launch of 'Madly Bangalee',
20090525,tv.news.hindi,Vasundhara on reality show,
20090527,city.pune,7 CBSE schools record 100 percent success,
20090530,city.mangaluru,JD(S) begins exercise to be cadre-based,
20090601,city.ahmedabad,Youth connect with RTI at workshop,
20090606,city.patna,MCI inspection gets underway at PMCH,
20090608,city.mumbai,Jains throng temple to cheer Centre's 'positive steps' towards bal diksha,
20090619,life-style.health-fitness.health-news,Low thyroid activity may be a sign of longevity,
20090619,business.international-business,World Bank approves $180 million loan for power plants in India,
20090620,city.bhubaneswar,Rebels hijack bus in Orissa,
20090623,city.ludhiana,After KPS Gill; vigilance bureau chief visits Benipal,
20090626,sports.golf,Chowrasia; Shiv return sub-par card after round,
20090630,top-stories,Hockey India to fete women's hockey team,
20090709,city.delhi,2 HC benches to clear pending criminal cases,
20090710,unknown,Industrial output grows 2.7% in May,
20090713,india,Centre suggests tripartite talks on 'Gorkhaland' issue,
20090714,city.mumbai,Caught drunk several times; motorist loses his licence,
20090715,city.chandigarh,Kingpin behind loot at Pkl house held,
20090726,unknown,What is intexticated?,
20090727,unknown,Indian journalist attacked in Australia,
20090801,city.mumbai,Agents flooded with calls to re-slot flights,
20090802,life-style.health-fitness.health-news,Diabetic therapy cuts pancreatic cancer risk,
20090812,city.delhi,NICD teams inspect city labs,
20090813,sports.icc-world-cup-2015,Sehwag shaping well for Champions Trophy: Dhoni,
20090815,entertainment.hindi.bollywood.news,Govinda's new fundas on love; life and partners,
